,Predictions
2023-11-24,
2023-11-27,
2023-11-28,
2023-11-29,
2023-11-30,
2023-12-01,
2023-12-04,
2023-12-05,
2023-12-06,
2023-12-07,
2023-12-08,
2023-12-11,
2023-12-12,
2023-12-13,
2023-12-14,
2023-12-15,
2023-12-18,
2023-12-19,
2023-12-20,
2023-12-21,
2023-12-22,
2023-12-25,
2023-12-26,
2023-12-27,
2023-12-28,
2023-12-29,
2024-01-02,
2024-01-03,
2024-01-04,
2024-01-05,
2024-01-08,
2024-01-09,
2024-01-10,
2024-01-11,
2024-01-12,
2024-01-15,
2024-01-16,
2024-01-17,
2024-01-18,
2024-01-19,
2024-01-22,
2024-01-23,
2024-01-24,
2024-01-25,
2024-01-26,
2024-01-29,
2024-01-30,
2024-01-31,
2024-02-01,
2024-02-02,
2024-02-05,
2024-02-06,
2024-02-07,
2024-02-15,
2024-02-16,
2024-02-19,
2024-02-20,
2024-02-21,
2024-02-22,
2024-02-23,
2024-02-26,
2024-02-27,
2024-02-28,
2024-02-29,
2024-03-01,
2024-03-04,
2024-03-05,
2024-03-06,
2024-03-07,
2024-03-08,
2024-03-11,
2024-03-12,
2024-03-13,
2024-03-14,
2024-03-15,
2024-03-18,
2024-03-19,
2024-03-20,
2024-03-21,
2024-03-22,
2024-03-25,
2024-03-26,
2024-03-27,
2024-03-28,
2024-03-29,
2024-04-01,
2024-04-02,
2024-04-03,
2024-04-04,
2024-04-05,
2024-04-08,32002.4609375
2024-04-09,31450.49609375
2024-04-10,30890.51171875
2024-04-11,30366.140625
2024-04-12,29895.365234375
2024-04-15,29482.673828125
2024-04-16,29125.29296875
2024-04-17,28816.728515625
2024-04-18,28548.89453125
2024-04-19,28313.38671875
2024-04-22,28102.359375
2024-04-23,27908.994140625
2024-04-24,27727.763671875
2024-04-25,27554.462890625
2024-04-26,27386.1875
2024-04-29,27221.15234375
2024-04-30,27058.486328125
2024-05-01,26898.017578125
2024-05-02,26740.05859375
2024-05-03,26585.22265625
2024-05-06,26434.234375
2024-05-07,26287.828125
2024-05-08,26146.65234375
2024-05-09,26011.20703125
2024-05-10,25881.828125
2024-05-13,25758.6796875
2024-05-14,25641.771484375
2024-05-15,25530.96875
2024-05-16,25426.0390625
2024-05-17,25326.68359375
2024-05-20,25232.54296875
2024-05-21,25143.255859375
2024-05-22,25058.4453125
2024-05-23,24977.767578125
2024-05-24,24900.8984375
2024-05-27,24827.552734375
2024-05-28,24757.474609375
2024-05-29,24690.455078125
2024-05-30,24626.298828125
2024-05-31,24564.859375
2024-06-03,24506.0
2024-06-04,24449.609375
2024-06-05,24395.583984375
2024-06-06,24343.837890625
2024-06-07,24294.28125
2024-06-10,24246.8359375
2024-06-11,24201.42578125
2024-06-12,24157.974609375
2024-06-13,24116.400390625
2024-06-14,24076.63671875
2024-06-17,24038.599609375
2024-06-18,24002.21875
2024-06-19,23967.421875
2024-06-20,23934.134765625
